username,message,timestamp,channel,stream_category
supershadow38,popCat,2026-05-25T14:24:50.321642,rubius,gaming
rubensptt9,POPI,2026-05-25T14:24:51.240556,rubius,gaming
andrea_tomatito,ahii,2026-05-25T14:24:51.441249,rubius,gaming
dulcevannez,alt + c,2026-05-25T14:24:51.827611,rubius,gaming
supershadow38,POPI,2026-05-25T14:24:52.612854,rubius,gaming
benhurislost_7,pon este diseno: https://www.twitch.tv/rubius/clip/VivaciousPolishedCurlewCoolCat-fpP84EzBBMVm2GLL,2026-05-25T14:24:53.477830,rubius,gaming
marcod23_,dasi,2026-05-25T14:24:53.686468,rubius,gaming
s_zix,JU,2026-05-25T14:24:54.312566,rubius,gaming
aleex0,qe,2026-05-25T14:24:55.746027,rubius,gaming
s_zix,JU JU JU JU,2026-05-25T14:24:55.934467,rubius,gaming
palitoooooooooodepez,el de creeper goty,2026-05-25T14:24:55.934467,rubius,gaming
fossabot,@aleex0 so,2026-05-25T14:24:55.934467,rubius,gaming
leonsus,OOOOO,2026-05-25T14:24:56.667799,rubius,gaming
lyn_galy,jah,2026-05-25T14:24:56.862386,rubius,gaming
balttazar3,ke,2026-05-25T14:24:57.156389,rubius,gaming
miyas__,EZ,2026-05-25T14:24:57.362677,rubius,gaming
trymindx,XD,2026-05-25T14:24:57.565974,rubius,gaming
rubensptt9,POPI WideRaveTime,2026-05-25T14:24:58.138655,rubius,gaming
llwinsll,JU,2026-05-25T14:24:58.443241,rubius,gaming
manolito2435,qe,2026-05-25T14:24:58.645951,rubius,gaming
jorgegeorge98,es hamilton,2026-05-25T14:24:58.882872,rubius,gaming
drixtsyx,lol,2026-05-25T14:24:59.511919,rubius,gaming
mrcrack1337,JU JU JU JU JU JU JU,2026-05-25T14:24:59.709224,rubius,gaming
lyn_galy,jah ͏,2026-05-25T14:24:59.913971,rubius,gaming
fercho18_pm,pog,2026-05-25T14:25:00.122392,rubius,gaming
martin3047,huh ͏,2026-05-25T14:25:00.968542,rubius,gaming
wendellsamus,cheats,2026-05-25T14:25:01.276723,rubius,gaming
razor_jk,qe,2026-05-25T14:25:01.471647,rubius,gaming
ryuuct,XD,2026-05-25T14:25:01.471647,rubius,gaming
isabrabos,JU,2026-05-25T14:25:01.695167,rubius,gaming
s_zix,Te domo,2026-05-25T14:25:01.888708,rubius,gaming
8madmas8,hes jsut that good,2026-05-25T14:25:02.085796,rubius,gaming
mariane_02,so,2026-05-25T14:25:02.085796,rubius,gaming
deesfk,XD,2026-05-25T14:25:02.290282,rubius,gaming
joaquinz31,Te gano con el coche base,2026-05-25T14:25:02.290282,rubius,gaming
jraphaelgs,WHAT,2026-05-25T14:25:02.488575,rubius,gaming
kingaga98,Hacker jajajj,2026-05-25T14:25:02.802331,rubius,gaming
saabieer,skill gap,2026-05-25T14:25:03.233568,rubius,gaming
balttazar3,la cabra,2026-05-25T14:25:03.433202,rubius,gaming
raymundogamer123,WTF,2026-05-25T14:25:03.433202,rubius,gaming
pudinde_caramelo,JU,2026-05-25T14:25:03.433202,rubius,gaming
drixtsyx,POPI,2026-05-25T14:25:03.632699,rubius,gaming
itz_luiil,uh,2026-05-25T14:25:03.912158,rubius,gaming
natskki,denuncua,2026-05-25T14:25:04.116922,rubius,gaming
andrea_tomatito,suS,2026-05-25T14:25:04.345756,rubius,gaming
larepudre2,es el primero que tenías,2026-05-25T14:25:04.551684,rubius,gaming
yourlittlepeepo,xd,2026-05-25T14:25:04.753117,rubius,gaming
tincho2077,JU,2026-05-25T14:25:04.753117,rubius,gaming
atediog,JU,2026-05-25T14:25:04.957644,rubius,gaming
tailen__,Que te diga por acá xd,2026-05-25T14:25:05.160953,rubius,gaming
juan_sandoval1,JU,2026-05-25T14:25:05.367645,rubius,gaming
lyn_galy,jah,2026-05-25T14:25:05.571203,rubius,gaming
dhemon14,JU,2026-05-25T14:25:06.254559,rubius,gaming
purryez,LO ͏,2026-05-25T14:25:06.446025,rubius,gaming
paro_parodise,Es el conductor no el coche,2026-05-25T14:25:06.446025,rubius,gaming
marcod23_,kek vp,2026-05-25T14:25:06.650976,rubius,gaming
mrerickspacecat,pog es el conductor,2026-05-25T14:25:06.650976,rubius,gaming
itsfercha,Sólo es un pro jajaja,2026-05-25T14:25:06.950786,rubius,gaming
spectrahelios117,ju{,2026-05-25T14:25:07.282220,rubius,gaming
deesfk,Jerry,2026-05-25T14:25:07.666604,rubius,gaming
dulcevannez,alt + c monito,2026-05-25T14:25:07.870645,rubius,gaming
frogapdx,xd,2026-05-25T14:25:07.870645,rubius,gaming
romica33,esta tuneado,2026-05-25T14:25:08.073170,rubius,gaming
drixtsyx,WTF,2026-05-25T14:25:08.282765,rubius,gaming
ryuuct,es Toreto xd,2026-05-25T14:25:08.479112,rubius,gaming
vrizia,JU,2026-05-25T14:25:09.159859,rubius,gaming
miyas__,EZ te gano con el coche base,2026-05-25T14:25:09.415268,rubius,gaming
saabieer,skill isue domado,2026-05-25T14:25:09.633974,rubius,gaming
jraphaelgs,Susge steve,2026-05-25T14:25:09.633974,rubius,gaming
lala_notz,MENTIRASSSSS,2026-05-25T14:25:09.839107,rubius,gaming
daniicute,Queeeee SUS,2026-05-25T14:25:09.839107,rubius,gaming
rubensptt9,POPI WideRaveTime  ͏,2026-05-25T14:25:09.839107,rubius,gaming
manolito2435,qe ͏,2026-05-25T14:25:09.839107,rubius,gaming
benjinji_,JU,2026-05-25T14:25:10.044456,rubius,gaming
mad_season1,GOAT,2026-05-25T14:25:11.402229,rubius,gaming
tailen__,Uy,2026-05-25T14:25:11.838553,rubius,gaming
komekaramel,Es pura habilidad al parecer,2026-05-25T14:25:12.183045,rubius,gaming
hernandezmario_,Ese esta rarete xdd,2026-05-25T14:25:12.458887,rubius,gaming
naegi32,EL CONDUCTOR BRO,2026-05-25T14:25:12.891029,rubius,gaming
tincho2077,SOS MALARDO NOMAS xd,2026-05-25T14:25:13.445688,rubius,gaming
rainimeow,WHAT,2026-05-25T14:25:13.725752,rubius,gaming
jraphaelgs,suS,2026-05-25T14:25:15.714331,rubius,gaming
gabrixcxx,rubbComo,2026-05-25T14:25:16.865526,rubius,gaming
midsinquirk,rubbDrive rubbDrive,2026-05-25T14:25:17.111316,rubius,gaming
daniicute,Uy steveeee SUS,2026-05-25T14:25:17.377483,rubius,gaming
jorgegeorge98,es el conductor confirmado,2026-05-25T14:25:17.583831,rubius,gaming
leonsus,OOOOO  es toreto,2026-05-25T14:25:17.847801,rubius,gaming
serrano_si,se lo ha hecho el,2026-05-25T14:25:18.050793,rubius,gaming
krisch_bbh,no es la nave es el piloto,2026-05-25T14:25:18.461669,rubius,gaming
andrea_tomatito,LOL,2026-05-25T14:25:18.659696,rubius,gaming
trymindx,yapping,2026-05-25T14:25:18.659696,rubius,gaming
dazra_11,Skill issue,2026-05-25T14:25:18.860286,rubius,gaming
dhemon14,"Lo que te gano fue el conductor, no el coche",2026-05-25T14:25:19.067029,rubius,gaming
merussmeru,"Osea que es de el , el hizo el tuneo del auto",2026-05-25T14:25:19.271241,rubius,gaming
dairicdelao,hacker xd,2026-05-25T14:25:19.474169,rubius,gaming
rubensptt9,XD,2026-05-25T14:25:19.714083,rubius,gaming
dulcevannez,el conductor es el goty,2026-05-25T14:25:21.244052,rubius,gaming
dhemon14,JU JU,2026-05-25T14:25:22.574900,rubius,gaming
sm1l3p0w3rs,es toreto,2026-05-25T14:25:23.291599,rubius,gaming
fr4ncisquak,JU,2026-05-25T14:25:23.565510,rubius,gaming
tailen__,A lo mejor en Manual,2026-05-25T14:25:24.479948,rubius,gaming
romica33,@Rubius tienes que ajustar transmisiooon,2026-05-25T14:25:24.677813,rubius,gaming
a1exander_3577,LOL,2026-05-25T14:25:24.677813,rubius,gaming
neny17,es hacker W,2026-05-25T14:25:24.884113,rubius,gaming
pilu_san,el copias,2026-05-25T14:25:25.114242,rubius,gaming
puberita,"S1 720, el primero que tenias",2026-05-25T14:25:25.518615,rubius,gaming
deesfk,ta en creativo,2026-05-25T14:25:25.724294,rubius,gaming
grossiman22,Solo eres malillo,2026-05-25T14:25:26.568876,rubius,gaming
matth_hiz,rubbKEKW rubbKEKW,2026-05-25T14:25:26.816780,rubius,gaming
dulcevannez,"y tu bueno, buenos días amor",2026-05-25T14:25:27.023801,rubius,gaming
papasfritas_ahhh1,EL USA MECANICO,2026-05-25T14:25:27.023801,rubius,gaming
daniicute,Hacker el steve SUS,2026-05-25T14:25:27.893718,rubius,gaming
rafaur2,Me huele a rubbHackermans,2026-05-25T14:25:28.092308,rubius,gaming
jraphaelgs,Nerd son los hacks no el coche,2026-05-25T14:25:28.092308,rubius,gaming
drixtsyx,suS JOKUBU,2026-05-25T14:25:28.487394,rubius,gaming
pjulianv,es el diseño,2026-05-25T14:25:28.708223,rubius,gaming
lala_notz,SUS,2026-05-25T14:25:29.093408,rubius,gaming
razor_jk,ryosuke tenía razón es el conductor pog,2026-05-25T14:25:29.328678,rubius,gaming
jorgegeorge98,el es el forza horizon TriCry,2026-05-25T14:25:31.748929,rubius,gaming
jhostyngarcia,Es la skin,2026-05-25T14:25:31.985562,rubius,gaming
cardenf,Vos patinaste al inicio,2026-05-25T14:25:32.707423,rubius,gaming
joanna_uribe,goty,2026-05-25T14:25:34.081173,rubius,gaming
enrique_perez97,"no te lo quiere pasar , se lo quitó jaja",2026-05-25T14:25:34.833752,rubius,gaming
merussmeru,El hizo el tuneo de 0 al auto,2026-05-25T14:25:35.347451,rubius,gaming
tailen__,Drift,2026-05-25T14:25:35.585507,rubius,gaming
miyas__,PagMan TeaTime,2026-05-25T14:25:36.157784,rubius,gaming
delfilauri,No es la nave es el piloto,2026-05-25T14:25:37.766770,rubius,gaming
kaleb_rbs,Hola acabo de llegar SABEN POR Q TWICH YA NO ME DA NOTIFICACIÓNES,2026-05-25T14:25:38.010859,rubius,gaming
trymindx,Steve con fly SUS,2026-05-25T14:25:38.221679,rubius,gaming
byfroom,El problema esta entre el monitor y la silla,2026-05-25T14:25:38.221679,rubius,gaming
vend0_pan_,rubbDrive rubbDrive,2026-05-25T14:25:38.981511,rubius,gaming
naegi32,S1 720 @Rubius,2026-05-25T14:25:39.552619,rubius,gaming
graaaass,jacker,2026-05-25T14:25:40.393404,rubius,gaming
fercho18_pm,J,2026-05-25T14:25:40.624286,rubius,gaming
gleopardo8,JU ͏,2026-05-25T14:25:41.313866,rubius,gaming
rubensptt9,XD ͏,2026-05-25T14:25:41.515250,rubius,gaming
mrerickspacecat,xd,2026-05-25T14:25:43.165017,rubius,gaming
jraphaelgs,ok voy,2026-05-25T14:25:43.738567,rubius,gaming
tailen__,Drift todos en la montaña,2026-05-25T14:25:44.295639,rubius,gaming
komekaramel,Escondite con los carritos,2026-05-25T14:25:44.493517,rubius,gaming
razor_jk,LO,2026-05-25T14:25:44.690040,rubius,gaming
8madmas8,hide and seek,2026-05-25T14:25:46.331506,rubius,gaming
papasfritas_ahhh1,USA CAJA MECANICA,2026-05-25T14:25:46.537326,rubius,gaming
annusky114,xd,2026-05-25T14:25:46.740541,rubius,gaming
balttazar3,ziii,2026-05-25T14:25:48.277069,rubius,gaming
okkotsu_san_,JU,2026-05-25T14:25:48.784715,rubius,gaming
joan24m,Eliminador,2026-05-25T14:25:50.718871,rubius,gaming
trymindx,yapping,2026-05-25T14:25:52.182994,rubius,gaming
miyas__,bartius yepers,2026-05-25T14:25:52.380003,rubius,gaming
nicole__sandeoki,rubbDrive rubbDrive rubbDrive,2026-05-25T14:25:52.885216,rubius,gaming
dulcevannez,que hace la caja mecánica?,2026-05-25T14:25:54.578623,rubius,gaming
xkarablackx,el eliminador,2026-05-25T14:25:56.366672,rubius,gaming
razor_jk,derrape personalizado,2026-05-25T14:25:56.557567,rubius,gaming
miyas__,catMunch,2026-05-25T14:25:56.861346,rubius,gaming
joanna_uribe,es el conductor quien hace la conducción,2026-05-25T14:25:57.056992,rubius,gaming
midsinquirk,rubbDrive,2026-05-25T14:25:58.728503,rubius,gaming
tobien013,un battle royale,2026-05-25T14:25:59.686973,rubius,gaming
fercho18_pm,A,2026-05-25T14:25:59.892865,rubius,gaming
balttazar3,Noruegos,2026-05-25T14:26:00.093893,rubius,gaming
ezequiel_py2,rubbTuerk rubbTuerk,2026-05-25T14:26:00.917179,rubius,gaming
andrea_tomatito,R,2026-05-25T14:26:03.574989,rubius,gaming
komekaramel,Jueguen escondite con los carritos,2026-05-25T14:26:03.828575,rubius,gaming
leonsus,mhm,2026-05-25T14:26:05.232139,rubius,gaming
andrea_tomatito,wrrrr,2026-05-25T14:26:05.508665,rubius,gaming
trymindx,yapping,2026-05-25T14:26:07.317363,rubius,gaming
ivaeda,labubius,2026-05-25T14:26:07.739871,rubius,gaming
soking_33,rubbDrive rubbDrive,2026-05-25T14:26:09.400563,rubius,gaming
dulcevannez,adiós steve,2026-05-25T14:26:10.498612,rubius,gaming
